freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.969e+02,1.235e+01,1.619e+01,3.255e+02
1.5,1.902e+02,3.549e+01,7.663e+01,3.023e+02
3.0,4.215e+01,3.598e+01,8.906e+01,1.672e+02
4.5,3.040e+02,3.723e+01,8.505e+01,4.263e+02
6.0,1.156e+03,3.867e+01,8.702e+01,1.282e+03
7.6,1.998e+03,4.272e+01,9.194e+01,2.133e+03
9.1,2.797e+03,4.368e+01,9.136e+01,2.932e+03
10.6,3.449e+03,3.672e+01,8.225e+01,3.567e+03
12.1,4.592e+03,3.497e+01,8.297e+01,4.710e+03
13.6,5.948e+03,4.162e+01,9.193e+01,6.082e+03
15.1,7.466e+03,4.405e+01,9.392e+01,7.604e+03
16.6,9.177e+03,3.889e+01,8.983e+01,9.306e+03
18.1,1.163e+04,3.970e+01,8.446e+01,1.175e+04
19.7,1.509e+04,3.987e+01,8.700e+01,1.522e+04
21.2,1.822e+04,4.024e+01,9.253e+01,1.836e+04
22.7,2.025e+04,4.857e+01,9.641e+01,2.040e+04
24.2,2.266e+04,4.960e+01,1.007e+02,2.282e+04
25.7,2.617e+04,4.486e+01,1.038e+02,2.632e+04
27.2,3.151e+04,4.712e+01,1.141e+02,3.167e+04
28.7,3.883e+04,5.108e+01,1.189e+02,3.900e+04
30.2,4.627e+04,5.230e+01,1.298e+02,4.645e+04
31.8,5.262e+04,5.033e+01,1.124e+02,5.278e+04
33.3,6.000e+04,5.616e+01,1.078e+02,6.017e+04
34.8,6.730e+04,7.308e+01,1.097e+02,6.748e+04
36.3,7.544e+04,8.883e+01,9.866e+01,7.563e+04
37.8,8.571e+04,9.988e+01,9.094e+01,8.590e+04
39.3,9.893e+04,1.251e+02,9.651e+01,9.915e+04
40.8,1.153e+05,1.525e+02,1.092e+02,1.155e+05
42.3,1.363e+05,1.792e+02,1.273e+02,1.367e+05
43.9,1.659e+05,2.254e+02,1.767e+02,1.663e+05
45.4,1.979e+05,3.079e+02,2.646e+02,1.985e+05
46.9,2.310e+05,4.721e+02,3.772e+02,2.318e+05
48.4,2.762e+05,8.072e+02,6.233e+02,2.776e+05
49.9,3.465e+05,1.470e+03,8.135e+02,3.488e+05
51.4,4.683e+05,2.265e+03,1.505e+03,4.720e+05
52.9,6.198e+05,5.117e+03,5.286e+03,6.302e+05
54.4,6.661e+05,9.990e+03,1.203e+04,6.881e+05
55.9,6.540e+05,1.221e+04,1.575e+04,6.820e+05
57.5,6.915e+05,1.305e+04,1.560e+04,7.201e+05
59.0,7.322e+05,1.386e+04,1.541e+04,7.615e+05
60.5,6.514e+05,1.354e+04,1.560e+04,6.806e+05
62.0,5.203e+05,1.226e+04,1.460e+04,5.471e+05
63.5,3.914e+05,1.035e+04,1.287e+04,4.146e+05
65.0,2.380e+05,6.496e+03,9.121e+03,2.537e+05
66.5,1.389e+05,3.724e+03,5.498e+03,1.482e+05
68.0,9.097e+04,2.861e+03,3.574e+03,9.741e+04
69.6,4.914e+04,2.613e+03,2.440e+03,5.419e+04
71.1,2.370e+04,2.822e+03,1.902e+03,2.842e+04
72.6,1.553e+04,3.398e+03,2.068e+03,2.099e+04
74.1,1.575e+04,3.715e+03,2.544e+03,2.200e+04
75.6,1.384e+04,3.474e+03,2.803e+03,2.011e+04
77.1,1.355e+04,2.755e+03,2.863e+03,1.916e+04
78.6,1.988e+04,2.290e+03,2.733e+03,2.490e+04
80.1,2.907e+04,3.073e+03,2.565e+03,3.471e+04
81.7,4.030e+04,8.170e+03,2.805e+03,5.127e+04
83.2,6.818e+04,7.282e+03,2.860e+03,7.832e+04
84.7,1.089e+05,1.087e+03,2.370e+03,1.124e+05
86.2,2.523e+05,2.107e+03,2.234e+03,2.567e+05
87.7,4.412e+05,3.983e+03,1.796e+03,4.470e+05
89.2,4.929e+05,5.135e+03,1.700e+03,4.997e+05
90.7,4.791e+05,6.958e+03,1.908e+03,4.880e+05
92.2,4.081e+05,1.162e+04,2.169e+03,4.219e+05
93.7,3.094e+05,1.826e+04,2.352e+03,3.300e+05
95.3,2.547e+05,2.404e+04,2.600e+03,2.814e+05
96.8,2.147e+05,2.957e+04,2.607e+03,2.469e+05
98.3,1.954e+05,3.193e+04,2.059e+03,2.294e+05
99.8,1.868e+05,2.986e+04,1.411e+03,2.181e+05
101.3,1.917e+05,2.390e+04,7.992e+02,2.164e+05
102.8,1.725e+05,1.702e+04,5.414e+02,1.901e+05
104.3,1.180e+05,1.492e+04,5.602e+02,1.334e+05
105.8,9.627e+04,1.159e+04,3.346e+02,1.082e+05
107.4,9.582e+04,9.661e+03,3.696e+02,1.058e+05
108.9,9.009e+04,8.489e+03,3.525e+02,9.893e+04
110.4,8.023e+04,8.168e+03,4.113e+02,8.881e+04
111.9,6.121e+04,7.977e+03,4.967e+02,6.968e+04
113.4,5.316e+04,9.701e+03,6.332e+02,6.350e+04
114.9,5.114e+04,1.141e+04,6.590e+02,6.321e+04
116.4,5.059e+04,1.064e+04,4.992e+02,6.173e+04
117.9,6.482e+04,1.202e+04,3.919e+02,7.724e+04
119.5,6.688e+04,9.545e+03,3.749e+02,7.680e+04
121.0,5.731e+04,1.004e+04,4.651e+02,6.781e+04
122.5,5.080e+04,9.945e+03,4.535e+02,6.120e+04
124.0,4.836e+04,9.473e+03,3.785e+02,5.821e+04
125.5,4.789e+04,8.533e+03,3.095e+02,5.673e+04
127.0,4.275e+04,7.582e+03,3.262e+02,5.065e+04
128.5,3.439e+04,6.554e+03,2.886e+02,4.124e+04
