freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.278e+01,1.666e+01,3.630e+02,4.025e+02
1.5,3.592e+01,4.507e+01,2.408e+02,3.218e+02
3.1,2.663e+01,4.314e+01,7.685e+01,1.466e+02
4.6,2.728e+01,4.709e+01,3.865e+02,4.609e+02
6.1,2.654e+01,4.911e+01,1.254e+03,1.330e+03
7.7,2.903e+01,5.676e+01,2.049e+03,2.135e+03
9.2,3.139e+01,6.443e+01,2.847e+03,2.943e+03
10.7,2.958e+01,5.421e+01,3.684e+03,3.767e+03
12.3,2.950e+01,5.136e+01,4.861e+03,4.942e+03
13.8,2.868e+01,5.395e+01,6.249e+03,6.331e+03
15.3,3.039e+01,5.955e+01,7.830e+03,7.920e+03
16.9,3.116e+01,5.962e+01,9.970e+03,1.006e+04
18.4,3.523e+01,5.810e+01,1.236e+04,1.246e+04
20.0,3.571e+01,5.988e+01,1.471e+04,1.481e+04
21.5,3.250e+01,6.716e+01,1.744e+04,1.754e+04
23.0,3.148e+01,8.527e+01,2.097e+04,2.108e+04
24.6,2.969e+01,1.133e+02,2.505e+04,2.519e+04
26.1,2.936e+01,1.525e+02,3.022e+04,3.040e+04
27.6,3.044e+01,1.743e+02,3.643e+04,3.663e+04
29.2,3.871e+01,2.069e+02,4.332e+04,4.357e+04
30.7,5.607e+01,2.751e+02,5.130e+04,5.163e+04
32.2,6.156e+01,3.977e+02,6.087e+04,6.133e+04
33.8,5.990e+01,5.279e+02,7.353e+04,7.412e+04
35.3,9.618e+01,6.986e+02,8.947e+04,9.026e+04
36.8,1.362e+02,9.613e+02,1.112e+05,1.123e+05
38.4,2.302e+02,1.306e+03,1.405e+05,1.421e+05
39.9,6.615e+02,1.833e+03,1.805e+05,1.830e+05
41.4,1.858e+03,2.429e+03,2.390e+05,2.433e+05
43.0,4.497e+03,4.052e+03,3.299e+05,3.384e+05
44.5,1.141e+04,8.218e+03,4.322e+05,4.518e+05
46.0,2.816e+04,1.313e+04,5.245e+05,5.658e+05
47.6,5.558e+04,1.771e+04,6.289e+05,7.022e+05
49.1,7.362e+04,1.798e+04,7.011e+05,7.927e+05
50.7,7.422e+04,1.217e+04,8.199e+05,9.063e+05
52.2,4.754e+04,4.924e+03,8.999e+05,9.524e+05
53.7,2.640e+04,6.187e+03,8.141e+05,8.467e+05
55.3,1.622e+04,1.181e+04,7.255e+05,7.535e+05
56.8,1.250e+04,1.547e+04,6.287e+05,6.566e+05
58.3,1.041e+04,1.249e+04,4.968e+05,5.197e+05
59.9,5.095e+03,1.098e+04,3.744e+05,3.905e+05
61.4,1.785e+03,1.225e+04,2.676e+05,2.816e+05
62.9,1.277e+03,1.033e+04,1.757e+05,1.873e+05
64.5,1.586e+03,6.461e+03,1.106e+05,1.187e+05
66.0,1.964e+03,3.991e+03,7.170e+04,7.766e+04
67.5,2.126e+03,2.728e+03,4.689e+04,5.174e+04
69.1,2.254e+03,2.300e+03,3.501e+04,3.956e+04
70.6,2.572e+03,2.182e+03,2.965e+04,3.441e+04
72.1,2.377e+03,1.811e+03,2.928e+04,3.347e+04
73.7,1.962e+03,2.551e+03,3.964e+04,4.415e+04
75.2,2.919e+03,7.334e+03,7.271e+04,8.296e+04
76.7,2.929e+03,8.969e+03,8.489e+04,9.679e+04
78.3,4.029e+03,8.788e+03,9.710e+04,1.099e+05
79.8,7.649e+03,1.035e+04,1.334e+05,1.514e+05
81.3,8.595e+03,1.426e+04,1.329e+05,1.558e+05
82.9,1.026e+04,2.844e+04,1.256e+05,1.643e+05
84.4,1.449e+04,1.516e+04,1.442e+05,1.739e+05
86.0,1.774e+04,9.016e+03,1.407e+05,1.674e+05
87.5,1.819e+04,1.060e+04,1.185e+05,1.472e+05
89.0,1.703e+04,1.121e+04,9.642e+04,1.247e+05
90.6,1.556e+04,1.097e+04,7.623e+04,1.027e+05
92.1,1.561e+04,1.045e+04,6.285e+04,8.890e+04
