freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.151e+00,5.824e+00,3.840e+01,4.837e+01
1.5,1.985e+01,2.325e+01,6.782e+01,1.109e+02
3.1,2.144e+01,2.555e+01,7.257e+01,1.196e+02
4.6,2.227e+01,2.490e+01,3.195e+02,3.667e+02
6.1,2.384e+01,2.510e+01,1.057e+03,1.106e+03
7.7,2.349e+01,2.993e+01,1.682e+03,1.736e+03
9.2,2.679e+01,3.435e+01,2.086e+03,2.147e+03
10.7,2.574e+01,2.827e+01,2.504e+03,2.558e+03
12.3,2.621e+01,2.949e+01,3.166e+03,3.221e+03
13.8,2.516e+01,3.030e+01,3.806e+03,3.862e+03
15.4,2.682e+01,2.861e+01,4.241e+03,4.296e+03
16.9,2.751e+01,2.799e+01,4.491e+03,4.546e+03
18.4,2.816e+01,2.978e+01,4.373e+03,4.431e+03
20.0,3.159e+01,3.138e+01,3.846e+03,3.909e+03
21.5,3.519e+01,3.239e+01,2.999e+03,3.067e+03
23.0,3.151e+01,2.920e+01,2.334e+03,2.395e+03
24.6,3.200e+01,2.806e+01,1.873e+03,1.933e+03
26.1,3.513e+01,3.161e+01,1.717e+03,1.784e+03
27.6,3.172e+01,3.269e+01,1.832e+03,1.897e+03
29.2,3.600e+01,3.179e+01,2.060e+03,2.127e+03
30.7,4.162e+01,3.294e+01,2.364e+03,2.439e+03
32.2,3.947e+01,3.265e+01,2.624e+03,2.696e+03
33.8,3.780e+01,3.087e+01,2.929e+03,2.998e+03
35.3,4.300e+01,3.189e+01,3.268e+03,3.343e+03
36.8,4.896e+01,3.138e+01,3.581e+03,3.661e+03
38.4,5.773e+01,3.496e+01,3.801e+03,3.894e+03
39.9,6.666e+01,4.011e+01,4.035e+03,4.142e+03
41.4,8.016e+01,5.104e+01,4.300e+03,4.431e+03
43.0,9.302e+01,5.863e+01,4.519e+03,4.671e+03
44.5,1.083e+02,6.910e+01,4.956e+03,5.134e+03
46.1,1.281e+02,8.012e+01,5.242e+03,5.451e+03
47.6,1.474e+02,1.015e+02,5.264e+03,5.513e+03
49.1,1.926e+02,1.410e+02,4.886e+03,5.220e+03
50.7,2.380e+02,1.862e+02,4.737e+03,5.161e+03
52.2,2.770e+02,2.482e+02,4.998e+03,5.523e+03
53.7,3.234e+02,2.984e+02,5.325e+03,5.947e+03
55.3,5.060e+02,4.855e+02,4.856e+03,5.847e+03
56.8,7.580e+02,8.064e+02,4.657e+03,6.222e+03
58.3,7.860e+02,1.123e+03,5.079e+03,6.988e+03
59.9,9.012e+02,1.690e+03,6.150e+03,8.741e+03
61.4,1.537e+03,2.668e+03,7.771e+03,1.198e+04
62.9,1.850e+03,3.398e+03,9.028e+03,1.428e+04
64.5,1.506e+03,3.391e+03,9.714e+03,1.461e+04
66.0,1.171e+03,3.100e+03,1.041e+04,1.468e+04
67.5,8.497e+02,2.562e+03,9.927e+03,1.334e+04
69.1,5.347e+02,2.030e+03,7.173e+03,9.738e+03
70.6,3.158e+02,1.915e+03,4.749e+03,6.980e+03
72.1,1.930e+02,2.648e+03,2.636e+03,5.477e+03
73.7,1.810e+02,3.538e+03,1.332e+03,5.051e+03
75.2,2.182e+02,3.841e+03,7.503e+02,4.810e+03
76.8,2.871e+02,3.553e+03,6.855e+02,4.526e+03
78.3,3.904e+02,3.206e+03,6.204e+02,4.217e+03
79.8,9.886e+02,3.452e+03,7.083e+02,5.148e+03
81.4,3.727e+03,1.351e+04,1.941e+03,1.918e+04
82.9,5.784e+03,3.726e+04,4.294e+03,4.733e+04
84.4,1.530e+03,1.013e+04,1.392e+03,1.306e+04
86.0,3.087e+02,1.779e+03,4.730e+02,2.560e+03
87.5,2.741e+02,1.919e+03,3.453e+02,2.538e+03
89.0,2.144e+02,2.185e+03,4.220e+02,2.822e+03
90.6,1.612e+02,2.351e+03,6.895e+02,3.202e+03
92.1,1.359e+02,1.970e+03,6.856e+02,2.792e+03
93.6,1.302e+02,1.874e+03,8.274e+02,2.832e+03
95.2,1.359e+02,1.983e+03,1.308e+03,3.427e+03
96.7,1.587e+02,1.976e+03,1.966e+03,4.101e+03
98.2,1.767e+02,1.938e+03,2.075e+03,4.190e+03
99.8,1.603e+02,1.874e+03,2.018e+03,4.052e+03
101.3,9.861e+01,1.887e+03,1.817e+03,3.802e+03
102.8,7.992e+01,1.841e+03,1.961e+03,3.882e+03
104.4,1.115e+02,2.279e+03,2.531e+03,4.921e+03
105.9,1.632e+02,2.727e+03,3.584e+03,6.474e+03
107.5,1.792e+02,2.600e+03,3.292e+03,6.071e+03
109.0,1.822e+02,2.648e+03,3.159e+03,5.989e+03
110.5,1.981e+02,3.243e+03,2.976e+03,6.418e+03
112.1,2.617e+02,5.202e+03,2.929e+03,8.392e+03
113.6,2.886e+02,5.693e+03,3.578e+03,9.560e+03
115.1,2.199e+02,4.119e+03,3.639e+03,7.978e+03
116.7,1.937e+02,2.866e+03,3.495e+03,6.554e+03
118.2,1.727e+02,2.262e+03,3.208e+03,5.643e+03
119.7,1.315e+02,2.026e+03,2.766e+03,4.924e+03
121.3,1.015e+02,2.053e+03,2.780e+03,4.935e+03
122.8,8.396e+01,2.230e+03,3.066e+03,5.380e+03
124.3,9.013e+01,2.391e+03,3.286e+03,5.768e+03
125.9,1.140e+02,2.377e+03,3.227e+03,5.718e+03
127.4,1.514e+02,2.251e+03,3.115e+03,5.517e+03
128.9,1.742e+02,1.887e+03,2.747e+03,4.808e+03
130.5,1.555e+02,1.404e+03,1.864e+03,3.424e+03
132.0,1.384e+02,9.522e+02,9.025e+02,1.993e+03
133.5,1.073e+02,5.674e+02,2.578e+02,9.326e+02
135.1,9.324e+01,4.617e+02,1.067e+02,6.616e+02
136.6,8.739e+01,4.751e+02,1.150e+02,6.775e+02
138.2,8.883e+01,4.789e+02,1.176e+02,6.853e+02
139.7,9.427e+01,4.637e+02,1.184e+02,6.764e+02
141.2,1.056e+02,4.434e+02,1.321e+02,6.811e+02
142.8,1.114e+02,4.056e+02,1.505e+02,6.675e+02
144.3,1.372e+02,3.653e+02,1.674e+02,6.699e+02
145.8,1.659e+02,3.460e+02,1.632e+02,6.751e+02
147.4,2.129e+02,3.378e+02,1.445e+02,6.952e+02
148.9,2.799e+02,3.037e+02,1.350e+02,7.186e+02
150.4,3.496e+02,2.946e+02,1.285e+02,7.727e+02
152.0,4.146e+02,2.791e+02,1.158e+02,8.095e+02
153.5,4.544e+02,2.831e+02,1.094e+02,8.470e+02
155.0,3.942e+02,2.915e+02,1.022e+02,7.879e+02
156.6,4.201e+02,3.270e+02,9.830e+01,8.453e+02
158.1,5.260e+02,3.822e+02,1.163e+02,1.025e+03
159.6,5.584e+02,4.321e+02,1.462e+02,1.137e+03
161.2,5.046e+02,4.307e+02,1.580e+02,1.093e+03
162.7,4.316e+02,4.436e+02,1.453e+02,1.021e+03
164.3,4.025e+02,4.634e+02,1.474e+02,1.013e+03
165.8,4.016e+02,4.642e+02,1.835e+02,1.049e+03
167.3,3.529e+02,4.672e+02,1.958e+02,1.016e+03
168.9,2.822e+02,4.472e+02,1.827e+02,9.122e+02
170.4,2.448e+02,4.901e+02,2.159e+02,9.508e+02
171.9,2.686e+02,5.941e+02,3.022e+02,1.165e+03
173.5,3.061e+02,9.524e+02,5.029e+02,1.761e+03
175.0,2.021e+02,6.293e+02,3.418e+02,1.173e+03
176.5,1.515e+02,4.709e+02,2.776e+02,9.001e+02
178.1,1.631e+02,4.455e+02,2.956e+02,9.042e+02
179.6,1.976e+02,4.252e+02,3.356e+02,9.584e+02
181.1,1.982e+02,4.000e+02,3.619e+02,9.602e+02
182.7,2.042e+02,5.149e+02,3.986e+02,1.118e+03
184.2,2.145e+02,5.365e+02,3.988e+02,1.150e+03
185.7,2.218e+02,5.017e+02,3.824e+02,1.106e+03
187.3,2.443e+02,5.534e+02,3.989e+02,1.197e+03
188.8,2.804e+02,7.057e+02,4.339e+02,1.420e+03
190.3,2.751e+02,6.785e+02,4.560e+02,1.410e+03
191.9,2.766e+02,6.929e+02,4.733e+02,1.443e+03
193.4,3.508e+02,8.136e+02,5.712e+02,1.736e+03
195.0,4.473e+02,7.554e+02,6.905e+02,1.893e+03
196.5,4.392e+02,7.322e+02,7.484e+02,1.920e+03
198.0,3.417e+02,7.616e+02,7.021e+02,1.805e+03
199.6,3.102e+02,8.453e+02,7.380e+02,1.893e+03
