freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.660e+02,4.449e+02,1.600e+01,6.269e+02
1.5,1.259e+02,2.713e+02,5.881e+01,4.560e+02
3.1,4.926e+01,4.120e+01,6.809e+01,1.585e+02
4.6,5.811e+01,3.870e+02,7.357e+01,5.187e+02
6.2,5.076e+01,1.427e+03,7.416e+01,1.552e+03
7.7,3.982e+01,2.560e+03,7.513e+01,2.674e+03
9.2,4.451e+01,3.287e+03,1.215e+02,3.453e+03
10.8,4.496e+01,4.193e+03,1.309e+02,4.369e+03
12.3,3.998e+01,5.890e+03,1.346e+02,6.065e+03
13.9,4.758e+01,7.477e+03,9.655e+01,7.621e+03
15.4,4.994e+01,1.001e+04,7.457e+01,1.013e+04
16.9,6.354e+01,1.361e+04,7.410e+01,1.375e+04
18.5,1.022e+02,1.800e+04,8.172e+01,1.818e+04
20.0,1.734e+02,2.291e+04,9.206e+01,2.318e+04
21.6,2.803e+02,2.889e+04,8.819e+01,2.926e+04
23.1,4.332e+02,3.712e+04,8.059e+01,3.764e+04
24.6,7.808e+02,4.903e+04,9.152e+01,4.991e+04
26.2,1.844e+03,6.672e+04,1.097e+02,6.867e+04
27.7,3.462e+03,8.686e+04,1.142e+02,9.043e+04
29.3,4.340e+03,1.110e+05,1.036e+02,1.155e+05
30.8,8.193e+03,1.503e+05,8.403e+01,1.586e+05
32.3,2.496e+04,2.059e+05,7.810e+01,2.310e+05
33.9,6.818e+04,2.730e+05,9.394e+01,3.413e+05
35.4,1.408e+05,2.696e+05,1.814e+02,4.106e+05
37.0,1.757e+05,1.548e+05,2.969e+02,3.308e+05
38.5,1.602e+05,7.043e+04,2.675e+02,2.309e+05
40.1,1.394e+05,5.648e+04,1.740e+02,1.960e+05
41.6,1.347e+05,8.212e+04,1.074e+02,2.169e+05
43.1,1.629e+05,1.622e+05,1.086e+02,3.252e+05
44.7,2.751e+05,4.050e+05,1.390e+02,6.802e+05
46.2,5.523e+05,1.007e+06,4.742e+02,1.560e+06
47.8,6.795e+05,1.426e+06,1.115e+03,2.107e+06
49.3,4.853e+05,1.201e+06,1.370e+03,1.688e+06
50.8,2.986e+05,9.206e+05,1.567e+03,1.221e+06
52.4,2.034e+05,7.770e+05,1.152e+03,9.816e+05
53.9,1.593e+05,6.781e+05,8.538e+02,8.383e+05
55.5,1.260e+05,5.424e+05,8.883e+02,6.693e+05
57.0,9.771e+04,4.255e+05,7.367e+02,5.239e+05
58.5,7.562e+04,3.420e+05,5.900e+02,4.182e+05
60.1,5.769e+04,2.764e+05,6.622e+02,3.347e+05
61.6,4.588e+04,2.298e+05,1.145e+03,2.768e+05
63.2,3.819e+04,1.948e+05,1.725e+03,2.347e+05
64.7,3.283e+04,1.646e+05,1.889e+03,1.993e+05
66.2,3.021e+04,1.405e+05,1.854e+03,1.726e+05
67.8,3.031e+04,1.217e+05,2.099e+03,1.541e+05
69.3,3.222e+04,1.068e+05,1.848e+03,1.409e+05
70.9,3.421e+04,9.480e+04,1.175e+03,1.302e+05
72.4,3.391e+04,8.443e+04,7.799e+02,1.191e+05
73.9,3.018e+04,7.605e+04,6.848e+02,1.069e+05
75.5,2.586e+04,6.849e+04,5.490e+02,9.489e+04
77.0,2.210e+04,6.114e+04,5.349e+02,8.377e+04
78.6,2.037e+04,5.804e+04,7.577e+02,7.918e+04
80.1,2.079e+04,5.689e+04,7.366e+02,7.842e+04
81.6,2.347e+04,5.668e+04,1.095e+03,8.124e+04
83.2,2.407e+04,4.981e+04,6.009e+02,7.448e+04
84.7,2.208e+04,5.052e+04,3.365e+02,7.294e+04
86.3,1.781e+04,5.609e+04,4.315e+02,7.434e+04
87.8,1.219e+04,6.198e+04,6.404e+02,7.480e+04
89.3,7.740e+03,6.874e+04,7.981e+02,7.728e+04
90.9,4.634e+03,7.591e+04,1.032e+03,8.158e+04
92.4,2.703e+03,8.480e+04,1.439e+03,8.895e+04
94.0,1.491e+03,8.358e+04,2.035e+03,8.710e+04
95.5,1.027e+03,6.790e+04,2.202e+03,7.113e+04
97.0,1.194e+03,6.275e+04,1.352e+03,6.529e+04
98.6,2.298e+03,8.578e+04,8.308e+02,8.890e+04
100.1,3.707e+03,9.641e+04,1.001e+03,1.011e+05
101.7,4.495e+03,9.466e+04,1.040e+03,1.002e+05
103.2,4.800e+03,9.139e+04,8.817e+02,9.707e+04
104.7,4.763e+03,8.706e+04,6.467e+02,9.247e+04
106.3,4.823e+03,8.300e+04,4.727e+02,8.830e+04
107.8,4.878e+03,7.773e+04,4.508e+02,8.306e+04
109.4,4.574e+03,7.055e+04,5.194e+02,7.564e+04
110.9,4.461e+03,6.950e+04,5.028e+02,7.446e+04
112.5,4.143e+03,6.511e+04,6.135e+02,6.987e+04
114.0,3.942e+03,6.142e+04,6.565e+02,6.602e+04
115.5,4.260e+03,5.982e+04,6.215e+02,6.470e+04
117.1,5.006e+03,5.900e+04,5.873e+02,6.460e+04
118.6,5.617e+03,5.806e+04,6.881e+02,6.436e+04
120.2,5.919e+03,5.614e+04,7.949e+02,6.285e+04
121.7,6.516e+03,5.375e+04,1.058e+03,6.133e+04
123.2,7.737e+03,5.004e+04,1.401e+03,5.918e+04
124.8,9.328e+03,4.619e+04,1.544e+03,5.706e+04
126.3,1.119e+04,4.009e+04,1.541e+03,5.283e+04
127.9,1.209e+04,3.619e+04,1.369e+03,4.965e+04
129.4,1.228e+04,3.615e+04,1.027e+03,4.946e+04
130.9,1.318e+04,3.392e+04,1.009e+03,4.812e+04
132.5,1.017e+04,2.248e+04,8.748e+02,3.352e+04
134.0,2.730e+03,4.538e+03,3.983e+02,7.667e+03
135.6,1.229e+03,1.198e+03,2.985e+02,2.726e+03
137.1,1.501e+03,1.820e+03,3.625e+02,3.684e+03
138.6,1.727e+03,2.617e+03,4.130e+02,4.757e+03
140.2,1.482e+03,3.169e+03,3.357e+02,4.987e+03
141.7,7.789e+02,3.104e+03,3.045e+02,4.187e+03
143.3,6.513e+02,2.861e+03,3.426e+02,3.854e+03
144.8,8.332e+02,2.491e+03,3.176e+02,3.642e+03
146.3,9.277e+02,1.939e+03,3.677e+02,3.234e+03
147.9,1.044e+03,1.502e+03,4.882e+02,3.034e+03
149.4,1.110e+03,1.099e+03,5.661e+02,2.775e+03
151.0,1.062e+03,7.368e+02,6.028e+02,2.402e+03
152.5,9.868e+02,5.656e+02,6.317e+02,2.184e+03
154.0,8.668e+02,5.437e+02,6.599e+02,2.070e+03
155.6,7.820e+02,7.091e+02,6.364e+02,2.128e+03
157.1,7.485e+02,8.658e+02,6.034e+02,2.218e+03
158.7,7.354e+02,9.958e+02,6.292e+02,2.360e+03
160.2,7.672e+02,1.218e+03,7.248e+02,2.710e+03
161.7,8.008e+02,1.274e+03,8.397e+02,2.915e+03
163.3,7.897e+02,1.262e+03,8.708e+02,2.923e+03
164.8,7.700e+02,1.412e+03,8.403e+02,3.022e+03
166.4,7.808e+02,1.573e+03,9.016e+02,3.255e+03
167.9,8.703e+02,1.455e+03,9.410e+02,3.266e+03
169.4,9.687e+02,1.388e+03,9.539e+02,3.311e+03
171.0,9.435e+02,1.396e+03,9.375e+02,3.277e+03
172.5,8.602e+02,1.373e+03,8.911e+02,3.125e+03
174.1,8.206e+02,1.324e+03,9.021e+02,3.047e+03
175.6,7.741e+02,1.327e+03,9.031e+02,3.004e+03
177.1,7.644e+02,1.390e+03,9.858e+02,3.140e+03
178.7,8.204e+02,1.497e+03,1.184e+03,3.501e+03
180.2,8.539e+02,1.494e+03,1.305e+03,3.653e+03
