freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.684e+01,1.398e+01,3.356e+02,3.664e+02
1.5,3.659e+01,3.358e+01,2.385e+02,3.087e+02
3.1,3.910e+01,3.214e+01,7.377e+01,1.450e+02
4.6,4.212e+01,3.146e+01,3.973e+02,4.709e+02
6.2,3.993e+01,3.343e+01,1.267e+03,1.340e+03
7.7,4.062e+01,3.378e+01,1.997e+03,2.072e+03
9.2,4.160e+01,4.054e+01,2.851e+03,2.933e+03
10.8,4.480e+01,4.904e+01,3.850e+03,3.944e+03
12.3,4.293e+01,5.202e+01,5.046e+03,5.141e+03
13.9,4.153e+01,4.105e+01,6.106e+03,6.189e+03
15.4,3.982e+01,3.828e+01,7.745e+03,7.823e+03
16.9,4.330e+01,4.319e+01,1.025e+04,1.034e+04
18.5,4.129e+01,4.629e+01,1.309e+04,1.317e+04
20.0,4.218e+01,5.235e+01,1.581e+04,1.590e+04
21.6,4.108e+01,5.695e+01,1.820e+04,1.830e+04
23.1,4.011e+01,5.455e+01,2.109e+04,2.119e+04
24.6,3.847e+01,7.324e+01,2.517e+04,2.528e+04
26.2,4.171e+01,9.546e+01,3.096e+04,3.110e+04
27.7,4.371e+01,1.125e+02,3.847e+04,3.863e+04
29.3,4.691e+01,1.415e+02,4.575e+04,4.594e+04
30.8,5.091e+01,1.764e+02,5.294e+04,5.316e+04
32.3,5.170e+01,2.124e+02,6.195e+04,6.222e+04
33.9,6.215e+01,2.735e+02,7.407e+04,7.440e+04
35.4,9.130e+01,3.725e+02,8.895e+04,8.941e+04
37.0,1.272e+02,4.735e+02,1.079e+05,1.085e+05
38.5,1.947e+02,5.955e+02,1.314e+05,1.322e+05
40.1,3.071e+02,8.255e+02,1.606e+05,1.618e+05
41.6,5.458e+02,1.295e+03,2.019e+05,2.037e+05
43.1,1.093e+03,2.086e+03,2.699e+05,2.731e+05
44.7,1.878e+03,3.428e+03,3.749e+05,3.802e+05
46.2,3.553e+03,6.283e+03,5.244e+05,5.342e+05
47.8,7.222e+03,1.102e+04,6.972e+05,7.154e+05
49.3,1.324e+04,1.552e+04,8.220e+05,8.508e+05
50.8,1.774e+04,1.614e+04,8.548e+05,8.887e+05
52.4,1.790e+04,1.361e+04,8.173e+05,8.488e+05
53.9,1.626e+04,1.183e+04,7.237e+05,7.518e+05
55.5,1.495e+04,9.603e+03,5.813e+05,6.059e+05
57.0,1.337e+04,7.284e+03,4.605e+05,4.812e+05
58.5,1.171e+04,5.476e+03,3.593e+05,3.765e+05
60.1,1.053e+04,3.733e+03,2.574e+05,2.717e+05
61.6,7.187e+03,2.355e+03,1.786e+05,1.882e+05
63.2,3.472e+03,2.044e+03,1.219e+05,1.274e+05
64.7,2.110e+03,1.872e+03,8.095e+04,8.493e+04
66.2,1.972e+03,1.563e+03,5.396e+04,5.749e+04
67.8,1.853e+03,1.411e+03,3.764e+04,4.091e+04
69.3,1.786e+03,1.541e+03,2.345e+04,2.677e+04
70.9,1.696e+03,1.753e+03,1.388e+04,1.733e+04
72.4,1.832e+03,2.132e+03,1.013e+04,1.410e+04
73.9,2.018e+03,2.163e+03,1.068e+04,1.486e+04
75.5,1.863e+03,1.931e+03,1.089e+04,1.468e+04
77.0,1.965e+03,2.108e+03,1.594e+04,2.001e+04
78.6,3.152e+03,5.060e+03,2.644e+04,3.466e+04
80.1,3.737e+03,8.042e+03,4.060e+04,5.238e+04
81.6,3.698e+03,1.479e+04,5.606e+04,7.454e+04
83.2,3.416e+03,1.011e+04,8.206e+04,9.558e+04
84.7,3.821e+03,1.076e+04,1.453e+05,1.599e+05
86.3,5.143e+03,1.370e+04,1.648e+05,1.837e+05
87.8,6.285e+03,1.297e+04,1.427e+05,1.620e+05
89.3,7.886e+03,9.023e+03,1.178e+05,1.347e+05
90.9,9.594e+03,5.784e+03,1.086e+05,1.240e+05
92.4,1.121e+04,3.965e+03,1.053e+05,1.205e+05
94.0,1.217e+04,3.945e+03,1.020e+05,1.181e+05
95.5,1.153e+04,4.269e+03,8.842e+04,1.042e+05
97.0,1.005e+04,7.876e+03,7.379e+04,9.172e+04
98.6,8.803e+03,1.328e+04,7.018e+04,9.226e+04
100.1,8.893e+03,1.825e+04,7.396e+04,1.011e+05
101.7,8.366e+03,2.235e+04,6.954e+04,1.003e+05
103.2,7.670e+03,2.333e+04,6.248e+04,9.348e+04
104.7,6.827e+03,2.266e+04,5.606e+04,8.554e+04
106.3,5.712e+03,2.102e+04,5.016e+04,7.689e+04
107.8,4.980e+03,1.898e+04,4.501e+04,6.897e+04
109.4,5.895e+03,2.626e+04,4.550e+04,7.766e+04
110.9,6.363e+03,3.090e+04,4.409e+04,8.135e+04
112.5,5.791e+03,2.788e+04,3.752e+04,7.119e+04
114.0,5.639e+03,2.676e+04,3.298e+04,6.538e+04
115.5,5.958e+03,2.645e+04,2.965e+04,6.205e+04
