freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.934e+02,5.112e+02,1.715e+01,7.217e+02
1.5,1.262e+02,3.089e+02,6.244e+01,4.975e+02
3.1,2.943e+01,4.686e+01,6.615e+01,1.424e+02
4.6,2.741e+01,3.810e+02,6.918e+01,4.776e+02
6.1,2.739e+01,1.432e+03,7.225e+01,1.532e+03
7.7,2.947e+01,2.464e+03,8.032e+01,2.573e+03
9.2,2.851e+01,2.696e+03,8.347e+01,2.808e+03
10.7,2.544e+01,3.647e+03,7.349e+01,3.746e+03
12.3,2.912e+01,5.337e+03,7.069e+01,5.436e+03
13.8,3.138e+01,7.279e+03,6.967e+01,7.380e+03
15.3,3.681e+01,9.771e+03,7.236e+01,9.880e+03
16.9,4.410e+01,1.290e+04,7.769e+01,1.302e+04
18.4,8.363e+01,1.647e+04,8.271e+01,1.664e+04
20.0,1.419e+02,2.088e+04,7.861e+01,2.110e+04
21.5,1.672e+02,2.641e+04,8.323e+01,2.666e+04
23.0,3.091e+02,3.497e+04,8.999e+01,3.537e+04
24.6,7.825e+02,4.708e+04,9.563e+01,4.795e+04
26.1,1.098e+03,5.821e+04,1.023e+02,5.941e+04
27.6,1.091e+03,6.973e+04,9.626e+01,7.092e+04
29.2,3.626e+03,9.653e+04,1.344e+02,1.003e+05
30.7,9.088e+03,1.344e+05,1.699e+02,1.437e+05
32.2,2.174e+04,1.864e+05,2.338e+02,2.084e+05
33.8,6.067e+04,2.942e+05,5.358e+02,3.554e+05
35.3,1.638e+05,4.436e+05,1.974e+03,6.093e+05
36.8,2.498e+05,3.403e+05,2.195e+03,5.924e+05
38.4,2.429e+05,1.497e+05,8.151e+02,3.934e+05
39.9,2.110e+05,9.093e+04,2.264e+02,3.022e+05
41.4,2.021e+05,1.256e+05,1.698e+02,3.279e+05
43.0,2.439e+05,2.334e+05,1.605e+02,4.775e+05
44.5,3.742e+05,4.657e+05,1.361e+02,8.400e+05
46.0,6.509e+05,9.729e+05,4.048e+02,1.624e+06
47.6,8.339e+05,1.524e+06,1.963e+03,2.360e+06
49.1,5.796e+05,1.433e+06,5.102e+03,2.018e+06
50.6,3.036e+05,1.092e+06,8.853e+03,1.405e+06
52.2,1.778e+05,8.094e+05,1.036e+04,9.976e+05
53.7,1.184e+05,5.963e+05,6.901e+03,7.216e+05
55.3,9.211e+04,4.591e+05,5.678e+03,5.569e+05
56.8,7.310e+04,3.678e+05,5.554e+03,4.464e+05
58.3,6.657e+04,3.139e+05,4.225e+03,3.847e+05
59.9,5.978e+04,2.484e+05,3.888e+03,3.121e+05
61.4,4.624e+04,1.865e+05,4.156e+03,2.369e+05
62.9,3.390e+04,1.469e+05,3.590e+03,1.844e+05
64.5,2.600e+04,1.288e+05,2.694e+03,1.575e+05
66.0,2.248e+04,1.234e+05,2.056e+03,1.479e+05
67.5,2.200e+04,1.219e+05,1.684e+03,1.456e+05
69.1,2.949e+04,1.292e+05,1.419e+03,1.601e+05
70.6,5.309e+04,1.431e+05,1.279e+03,1.975e+05
72.1,7.533e+04,1.459e+05,1.262e+03,2.225e+05
73.7,7.650e+04,1.311e+05,1.103e+03,2.087e+05
75.2,6.382e+04,1.105e+05,8.414e+02,1.751e+05
76.7,5.192e+04,9.382e+04,8.535e+02,1.466e+05
78.3,4.357e+04,7.951e+04,6.595e+02,1.237e+05
79.8,3.515e+04,6.849e+04,5.002e+02,1.041e+05
81.3,2.891e+04,6.690e+04,1.294e+03,9.711e+04
82.9,2.692e+04,7.759e+04,3.480e+03,1.080e+05
84.4,2.157e+04,6.983e+04,2.031e+03,9.343e+04
85.9,1.911e+04,6.294e+04,1.711e+03,8.376e+04
87.5,1.846e+04,6.573e+04,1.930e+03,8.612e+04
