freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.598e+02,4.754e+02,1.309e+01,6.483e+02
1.5,1.236e+02,2.789e+02,6.207e+01,4.646e+02
3.1,3.607e+01,4.158e+01,7.633e+01,1.540e+02
4.6,3.810e+01,3.829e+02,7.004e+01,4.910e+02
6.1,3.929e+01,1.455e+03,7.343e+01,1.568e+03
7.7,3.612e+01,2.446e+03,9.050e+01,2.573e+03
9.2,3.542e+01,2.662e+03,8.854e+01,2.786e+03
10.8,3.997e+01,3.663e+03,7.086e+01,3.774e+03
12.3,4.242e+01,5.316e+03,7.729e+01,5.435e+03
13.8,4.648e+01,7.293e+03,7.095e+01,7.410e+03
15.4,4.123e+01,9.706e+03,6.794e+01,9.815e+03
16.9,4.320e+01,1.277e+04,7.277e+01,1.289e+04
18.4,6.956e+01,1.639e+04,7.141e+01,1.653e+04
20.0,1.103e+02,2.044e+04,6.577e+01,2.061e+04
21.5,1.318e+02,2.536e+04,7.700e+01,2.556e+04
23.0,2.393e+02,3.302e+04,8.987e+01,3.335e+04
24.6,5.584e+02,4.335e+04,1.001e+02,4.401e+04
26.1,7.032e+02,5.205e+04,1.016e+02,5.285e+04
27.6,5.313e+02,6.268e+04,8.935e+01,6.330e+04
29.2,1.548e+03,9.010e+04,8.652e+01,9.173e+04
30.7,4.043e+03,1.363e+05,1.076e+02,1.405e+05
32.3,9.748e+03,2.068e+05,1.447e+02,2.167e+05
33.8,2.307e+04,3.174e+05,1.320e+02,3.406e+05
35.3,5.018e+04,4.483e+05,9.258e+01,4.985e+05
36.9,9.723e+04,5.009e+05,1.564e+02,5.983e+05
38.4,1.201e+05,3.523e+05,2.727e+02,4.727e+05
39.9,1.083e+05,1.782e+05,3.372e+02,2.868e+05
41.5,9.939e+04,9.078e+04,3.595e+02,1.905e+05
43.0,1.114e+05,6.283e+04,4.041e+02,1.747e+05
44.5,1.481e+05,6.604e+04,2.843e+02,2.145e+05
46.1,1.985e+05,9.347e+04,1.581e+02,2.921e+05
47.6,2.760e+05,1.794e+05,2.087e+02,4.557e+05
49.1,3.455e+05,3.313e+05,5.370e+02,6.773e+05
50.7,3.248e+05,4.786e+05,7.756e+02,8.042e+05
52.2,3.332e+05,7.128e+05,5.078e+02,1.047e+06
53.8,3.857e+05,9.962e+05,2.894e+02,1.382e+06
55.3,3.631e+05,1.099e+06,5.169e+02,1.462e+06
56.8,3.127e+05,1.071e+06,8.854e+02,1.385e+06
58.4,2.589e+05,8.704e+05,7.605e+02,1.130e+06
59.9,1.873e+05,5.989e+05,6.655e+02,7.868e+05
61.4,1.299e+05,4.343e+05,1.435e+03,5.657e+05
63.0,9.513e+04,3.603e+05,2.222e+03,4.576e+05
64.5,7.486e+04,3.253e+05,2.718e+03,4.029e+05
66.0,6.146e+04,3.009e+05,3.182e+03,3.655e+05
67.6,5.347e+04,2.599e+05,3.107e+03,3.165e+05
69.1,4.912e+04,2.246e+05,2.213e+03,2.759e+05
70.6,5.213e+04,2.059e+05,1.343e+03,2.594e+05
72.2,6.468e+04,1.956e+05,5.661e+02,2.609e+05
73.7,7.786e+04,1.901e+05,5.002e+02,2.685e+05
75.3,7.952e+04,1.809e+05,8.307e+02,2.613e+05
76.8,7.389e+04,1.623e+05,8.522e+02,2.370e+05
78.3,6.494e+04,1.463e+05,6.799e+02,2.119e+05
79.9,5.264e+04,1.395e+05,6.482e+02,1.928e+05
81.4,3.891e+04,1.471e+05,1.754e+03,1.877e+05
82.9,3.054e+04,1.642e+05,4.013e+03,1.988e+05
84.5,1.759e+04,1.378e+05,1.878e+03,1.572e+05
86.0,1.031e+04,1.208e+05,1.144e+03,1.322e+05
87.5,7.241e+03,1.114e+05,1.281e+03,1.199e+05
89.1,5.418e+03,1.055e+05,1.448e+03,1.124e+05
90.6,3.966e+03,1.009e+05,1.419e+03,1.063e+05
92.1,2.692e+03,9.867e+04,1.250e+03,1.026e+05
93.7,1.831e+03,9.797e+04,9.128e+02,1.007e+05
95.2,1.922e+03,9.913e+04,9.987e+02,1.021e+05
96.8,3.161e+03,1.006e+05,2.102e+03,1.059e+05
98.3,4.357e+03,9.882e+04,4.200e+03,1.074e+05
99.8,5.024e+03,9.705e+04,5.863e+03,1.079e+05
101.4,5.818e+03,1.005e+05,6.855e+03,1.132e+05
102.9,6.372e+03,1.006e+05,7.695e+03,1.147e+05
104.4,6.775e+03,9.580e+04,7.736e+03,1.103e+05
106.0,6.901e+03,9.117e+04,6.298e+03,1.044e+05
107.5,6.976e+03,8.821e+04,5.142e+03,1.003e+05
109.0,6.744e+03,8.380e+04,5.000e+03,9.554e+04
110.6,6.157e+03,7.815e+04,4.332e+03,8.864e+04
112.1,6.034e+03,7.500e+04,3.051e+03,8.409e+04
113.7,5.607e+03,7.063e+04,2.927e+03,7.917e+04
115.2,5.458e+03,6.436e+04,2.461e+03,7.228e+04
116.7,5.133e+03,5.652e+04,2.387e+03,6.404e+04
118.3,4.529e+03,5.567e+04,2.285e+03,6.249e+04
119.8,4.824e+03,5.143e+04,1.362e+03,5.762e+04
121.3,4.904e+03,4.418e+04,9.989e+02,5.008e+04
122.9,5.031e+03,3.391e+04,1.253e+03,4.019e+04
124.4,6.393e+03,3.242e+04,2.690e+03,4.150e+04
125.9,7.200e+03,5.179e+04,1.923e+03,6.091e+04
127.5,7.149e+03,5.880e+04,5.673e+02,6.652e+04
129.0,7.444e+03,5.695e+04,3.882e+02,6.478e+04
130.5,7.402e+03,5.218e+04,3.564e+02,5.994e+04
132.1,6.615e+03,4.191e+04,4.228e+02,4.894e+04
133.6,2.538e+03,1.353e+04,2.593e+02,1.633e+04
135.2,5.965e+02,2.211e+03,2.632e+02,3.070e+03
136.7,4.982e+02,3.385e+03,7.007e+02,4.584e+03
138.2,5.421e+02,5.253e+03,1.408e+03,7.204e+03
