freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.100e+00,4.785e+02,2.745e+01,5.120e+02
1.5,2.991e+01,2.926e+02,8.061e+01,4.031e+02
3.0,3.140e+01,4.162e+01,8.923e+01,1.623e+02
4.5,3.111e+01,3.359e+02,9.139e+01,4.584e+02
6.0,3.107e+01,1.309e+03,8.910e+01,1.430e+03
7.6,3.117e+01,2.299e+03,8.942e+01,2.420e+03
9.1,3.311e+01,2.669e+03,9.275e+01,2.795e+03
10.6,3.233e+01,3.366e+03,9.625e+01,3.495e+03
12.1,3.218e+01,4.906e+03,9.542e+01,5.034e+03
13.6,3.127e+01,6.853e+03,8.517e+01,6.969e+03
15.1,3.243e+01,9.051e+03,8.761e+01,9.171e+03
16.6,3.188e+01,1.161e+04,8.663e+01,1.173e+04
18.1,3.044e+01,1.465e+04,8.873e+01,1.476e+04
19.7,3.062e+01,1.837e+04,9.104e+01,1.849e+04
21.2,3.294e+01,2.279e+04,8.828e+01,2.291e+04
22.7,3.358e+01,2.857e+04,8.935e+01,2.870e+04
24.2,3.550e+01,3.616e+04,8.681e+01,3.628e+04
25.7,3.445e+01,4.668e+04,8.631e+01,4.680e+04
27.2,3.522e+01,6.151e+04,1.030e+02,6.165e+04
28.7,3.629e+01,7.735e+04,1.486e+02,7.754e+04
30.2,3.540e+01,8.711e+04,1.871e+02,8.734e+04
31.8,3.623e+01,1.063e+05,1.274e+02,1.065e+05
33.3,3.547e+01,1.470e+05,9.407e+01,1.472e+05
34.8,3.898e+01,2.194e+05,1.187e+02,2.196e+05
36.3,3.860e+01,3.540e+05,2.949e+02,3.543e+05
37.8,4.692e+01,6.634e+05,9.101e+02,6.643e+05
39.3,1.061e+02,1.411e+06,2.819e+03,1.414e+06
40.8,1.775e+02,1.948e+06,6.833e+03,1.955e+06
42.3,1.820e+02,1.628e+06,9.191e+03,1.637e+06
43.8,1.343e+02,1.125e+06,9.391e+03,1.134e+06
45.4,1.116e+02,7.382e+05,8.872e+03,7.472e+05
46.9,1.316e+02,4.846e+05,8.485e+03,4.932e+05
48.4,9.761e+01,3.235e+05,7.458e+03,3.311e+05
49.9,1.152e+02,2.240e+05,7.453e+03,2.316e+05
51.4,7.588e+01,1.538e+05,1.192e+04,1.657e+05
52.9,9.223e+01,1.107e+05,1.411e+04,1.249e+05
54.4,2.403e+02,8.554e+04,1.537e+04,1.011e+05
55.9,5.278e+02,6.561e+04,1.558e+04,8.172e+04
57.5,6.809e+02,5.036e+04,1.262e+04,6.366e+04
59.0,8.695e+02,3.785e+04,1.073e+04,4.945e+04
60.5,1.108e+03,3.051e+04,1.239e+04,4.400e+04
62.0,1.729e+03,3.619e+04,1.816e+04,5.609e+04
63.5,2.305e+03,5.898e+04,2.535e+04,8.664e+04
65.0,2.008e+03,1.007e+05,3.372e+04,1.364e+05
66.5,1.013e+03,1.544e+05,4.131e+04,1.967e+05
68.0,8.768e+02,2.031e+05,4.803e+04,2.520e+05
69.5,1.216e+03,2.279e+05,5.342e+04,2.825e+05
71.1,1.027e+03,2.068e+05,5.115e+04,2.590e+05
72.6,6.854e+02,1.694e+05,4.357e+04,2.136e+05
74.1,3.278e+02,1.475e+05,3.708e+04,1.849e+05
